Date,YTM
01/29/1997,5.75
01/30/1997,5.72
01/31/1997,5.71
02/03/1997,5.7
02/04/1997,5.72
02/05/1997,5.85
02/06/1997,5.83
02/07/1997,5.88
02/10/1997,5.89
02/11/1997,5.91
02/12/1997,5.91
02/13/1997,5.93
02/14/1997,5.93
02/17/1997,5.95
02/18/1997,5.96
02/19/1997,6
02/20/1997,6
02/21/1997,6.01
02/24/1997,6.01
02/25/1997,6.01
02/26/1997,6.01
02/27/1997,6.02
02/28/1997,6.03
03/03/1997,6.02
03/04/1997,6.03
03/05/1997,6.03
03/06/1997,6.03
03/07/1997,6.03
03/10/1997,6.02
03/11/1997,6.03
03/12/1997,6.03
03/13/1997,6.04
03/14/1997,6.04
03/17/1997,6.04
03/18/1997,6.05
03/19/1997,6.06
03/20/1997,6.08
03/21/1997,6.08
03/24/1997,6.08
03/25/1997,6.1
03/26/1997,6.09
03/27/1997,6.09
03/28/1997,6.09
03/31/1997,6.09
04/01/1997,6.09
04/02/1997,6.08
04/03/1997,6.08
04/04/1997,6.09
04/07/1997,6.0833
04/08/1997,6.085
04/09/1997,6.07
04/10/1997,6.07
04/11/1997,6.06
04/14/1997,6.04
04/15/1997,6.02
04/16/1997,6.01
04/17/1997,6.03
04/18/1997,6.03
04/21/1997,5.97
04/22/1997,5.97
04/23/1997,5.98
04/24/1997,5.98
04/25/1997,6.01
04/28/1997,6.02
04/29/1997,6.02
04/30/1997,6
05/01/1997,6.01
05/02/1997,6
05/05/1997,5.98
05/06/1997,6
05/07/1997,6.05
05/08/1997,6.03
05/09/1997,6.04
05/12/1997,6.03
05/13/1997,6.04
05/14/1997,6
05/15/1997,5.98
05/16/1997,5.98
05/19/1997,5.99
05/20/1997,5.99
05/21/1997,5.97
05/22/1997,5.53
05/23/1997,5.54
05/26/1997,5.53
05/27/1997,5.54
05/28/1997,5.54
05/29/1997,5.46
05/30/1997,5.44
06/02/1997,5.46
06/03/1997,5.42
06/04/1997,5.47
06/05/1997,5.44
06/06/1997,5.44
06/09/1997,5.42
06/10/1997,5.41
06/11/1997,5.26
06/12/1997,5.3
06/13/1997,5.29
06/16/1997,5.31
06/17/1997,5.27
06/18/1997,5.27
06/19/1997,5.26
06/20/1997,5.26
06/23/1997,5.27
06/24/1997,5.33
06/25/1997,5.36
06/26/1997,5.35
06/27/1997,5.35
06/30/1997,5.28
07/01/1997,5.36
07/02/1997,5.34
07/03/1997,5.33
07/04/1997,5.33
07/07/1997,5.28
07/08/1997,5.22
07/09/1997,5.13
07/10/1997,5.15
07/11/1997,5.15
07/14/1997,5.21
07/15/1997,5.24
07/16/1997,5.19
07/17/1997,5.24
07/18/1997,5.19
07/21/1997,5.19
07/22/1997,5.17
07/23/1997,5.08
07/24/1997,5.09
07/25/1997,5.12
07/28/1997,5.12
07/29/1997,4.95
07/30/1997,4.92
07/31/1997,4.92
08/01/1997,4.94
08/04/1997,4.92
08/05/1997,4.91
08/06/1997,4.9
08/07/1997,4.92
08/08/1997,4.95
08/11/1997,4.95
08/12/1997,4.93
08/13/1997,4.87
08/14/1997,4.83
08/15/1997,4.84
08/18/1997,4.85
08/19/1997,4.89
08/20/1997,4.89
08/21/1997,4.89
08/22/1997,4.92
08/25/1997,4.91
08/26/1997,4.89
08/27/1997,4.87
08/28/1997,4.84
08/29/1997,4.76
09/01/1997,4.76
09/02/1997,4.81
09/03/1997,4.91
09/04/1997,4.89
09/05/1997,4.9
09/08/1997,4.88
09/09/1997,4.88
09/10/1997,4.68
09/11/1997,4.7
09/12/1997,4.71
09/15/1997,4.72
09/16/1997,4.7
09/17/1997,4.72
09/18/1997,4.72
09/19/1997,4.72
09/22/1997,4.7
09/23/1997,4.71
09/24/1997,4.71
09/25/1997,4.77
09/26/1997,4.79
09/29/1997,4.78
09/30/1997,4.71
10/01/1997,4.71
10/02/1997,4.71
10/03/1997,4.71
10/06/1997,4.71
10/07/1997,4.79
10/08/1997,4.87
10/09/1997,4.91
10/10/1997,4.92
10/13/1997,4.9
10/14/1997,4.88
10/15/1997,4.89
10/16/1997,4.87
10/17/1997,4.83
10/20/1997,4.83
10/21/1997,4.87
10/22/1997,4.88
10/23/1997,4.88
10/24/1997,4.93
10/27/1997,4.83
10/28/1997,4.87
10/29/1997,4.85
10/30/1997,4.84
10/31/1997,4.85
11/03/1997,4.87
11/04/1997,4.89
11/05/1997,4.92
11/06/1997,4.91
11/07/1997,4.92
11/10/1997,4.93
11/11/1997,4.95
11/12/1997,4.96
11/13/1997,4.95
11/14/1997,4.96
11/17/1997,4.95
11/18/1997,4.94
11/19/1997,4.95
11/20/1997,4.96
11/21/1997,4.96
11/24/1997,4.97
11/25/1997,4.99
11/26/1997,5.02
11/27/1997,5.05
11/28/1997,5.08
12/01/1997,5.09
12/02/1997,5.09
12/03/1997,5.07
12/04/1997,5.07
12/05/1997,5.07
12/08/1997,5.06
12/09/1997,5.06
12/10/1997,5.06
12/11/1997,5.06
12/12/1997,5.05
12/15/1997,5.07
12/16/1997,5.08
12/17/1997,5.07
12/18/1997,5.07
12/19/1997,5.05
12/22/1997,5.05
12/23/1997,5.07
12/24/1997,5.07
12/25/1997,5.07
12/26/1997,5.05
12/29/1997,5.05
12/30/1997,5.05
12/31/1997,5.05
01/01/1998,5.05
01/02/1998,4.96
01/05/1998,4.93
01/06/1998,4.95
01/07/1998,4.96
01/08/1998,4.96
01/09/1998,4.94
01/12/1998,4.96
01/13/1998,4.97
01/14/1998,4.99
01/15/1998,5
01/16/1998,5.02
01/19/1998,5
01/20/1998,4.97
01/21/1998,4.98
01/22/1998,5
01/23/1998,5
01/26/1998,5.03
01/27/1998,5.04
01/28/1998,5.04
01/29/1998,5.02
01/30/1998,5.01
02/02/1998,5.01
02/03/1998,5
02/04/1998,4.99
02/05/1998,4.98
02/06/1998,4.98
02/09/1998,4.95
02/10/1998,4.94
02/11/1998,4.95
02/12/1998,4.94
02/13/1998,4.94
02/16/1998,4.95
02/17/1998,4.97
02/18/1998,4.97
02/19/1998,4.97
02/20/1998,4.96
02/23/1998,4.97
02/24/1998,4.99
02/25/1998,4.99
02/26/1998,5.01
02/27/1998,4.99
