Date,TotalReturn_AUD,Yield
01/31/2001,107.78,0.053186
02/01/2001,108.04,0.053186
02/02/2001,107.9,0.053186
02/05/2001,107.81,0.053186
02/06/2001,107.82,0.053186
02/07/2001,107.66,0.053186
02/08/2001,107.7,0.053186
02/09/2001,107.56,0.053186
02/12/2001,108.18,0.053186
02/13/2001,108.08,0.053186
02/14/2001,107.84,0.053186
02/15/2001,107.26,0.053186
02/16/2001,107.38,0.053186
02/19/2001,107.8,0.053186
02/20/2001,107.82,0.053186
02/21/2001,107.82,0.053186
02/22/2001,107.95,0.053186
02/23/2001,107.9,0.053186
02/26/2001,108.28,0.053186
02/27/2001,108.25,0.053186
02/28/2001,108.51,0.052673
03/01/2001,108.46,0.052673
03/02/2001,108.49,0.052673
03/05/2001,108.74,0.052673
03/06/2001,108.74,0.052673
03/07/2001,109.12,0.052673
03/08/2001,109.2,0.052673
03/09/2001,109.48,0.052673
03/12/2001,109.53,0.052673
03/13/2001,109.86,0.052673
03/14/2001,109.89,0.052673
03/15/2001,110.05,0.052673
03/16/2001,110.07,0.052673
03/19/2001,110.29,0.052673
03/20/2001,110.08,0.052673
03/21/2001,110.2,0.052673
03/22/2001,109.85,0.052673
03/23/2001,109.46,0.052673
03/26/2001,109.36,0.052673
03/27/2001,109.43,0.052673
03/28/2001,108.78,0.052673
03/29/2001,109.11,0.052673
03/30/2001,109.18,0.052134
04/02/2001,109.36,0.052134
04/03/2001,109.04,0.052134
04/04/2001,109.57,0.052134
04/05/2001,109,0.052134
04/06/2001,108.59,0.052134
04/09/2001,108.88,0.052134
04/10/2001,108.66,0.052134
04/11/2001,108.29,0.052134
04/12/2001,108,0.052134
04/13/2001,108.01,0.052134
04/16/2001,108.06,0.052134
04/17/2001,108.07,0.052134
04/18/2001,107.88,0.052134
04/19/2001,108.44,0.052134
04/20/2001,107.79,0.052134
04/23/2001,107.86,0.052134
04/24/2001,107.96,0.052134
04/25/2001,107.98,0.052134
04/26/2001,107.76,0.052134
04/27/2001,108.29,0.052134
04/30/2001,107.95,0.05557
05/01/2001,107.84,0.05557
05/02/2001,107.84,0.05557
05/03/2001,107.88,0.05557
05/04/2001,108.16,0.05557
05/07/2001,108.29,0.05557
05/08/2001,108.56,0.05557
05/09/2001,108.58,0.05557
05/10/2001,108.78,0.05557
05/11/2001,108.2,0.05557
05/14/2001,107.45,0.05557
05/15/2001,107.3,0.05557
05/16/2001,107.13,0.05557
05/17/2001,107.09,0.05557
05/18/2001,107.2,0.05557
05/21/2001,106.94,0.05557
05/22/2001,107.13,0.05557
05/23/2001,107.19,0.05557
05/24/2001,107.33,0.05557
05/25/2001,107.16,0.05557
05/28/2001,107.24,0.05557
05/29/2001,107.23,0.05557
05/30/2001,107.17,0.05557
05/31/2001,107.43,0.058039
06/01/2001,107.65,0.058039
06/04/2001,107.96,0.058039
06/05/2001,107.87,0.058039
06/06/2001,107.32,0.058039
06/07/2001,107.48,0.058039
06/08/2001,107.26,0.058039
06/11/2001,107.32,0.058039
06/12/2001,107.49,0.058039
06/13/2001,107.9,0.058039
06/14/2001,108.15,0.058039
06/15/2001,108.18,0.058039
06/18/2001,108.32,0.058039
06/19/2001,108.19,0.058039
06/20/2001,108.28,0.058039
06/21/2001,108.19,0.058039
06/22/2001,108.29,0.058039
06/25/2001,108.63,0.058039
06/26/2001,108.61,0.058039
06/27/2001,108.07,0.058039
06/28/2001,107.78,0.058039
06/29/2001,107.47,0.059486
07/02/2001,107.29,0.059486
07/03/2001,107.12,0.059486
07/04/2001,106.91,0.059486
07/05/2001,107.17,0.059486
07/06/2001,107.11,0.059486
07/09/2001,107.27,0.059486
07/10/2001,107.29,0.059486
07/11/2001,107.62,0.059486
07/12/2001,107.11,0.059486
07/13/2001,107.25,0.059486
07/16/2001,107.5,0.059486
07/17/2001,107.68,0.059486
07/18/2001,107.79,0.059486
07/19/2001,108.2,0.059486
07/20/2001,108.44,0.059486
07/23/2001,108.28,0.059486
07/24/2001,108.22,0.059486
07/25/2001,107.83,0.059486
07/26/2001,107.58,0.059486
07/27/2001,107.74,0.059486
07/30/2001,107.95,0.059486
07/31/2001,107.91,0.059818
08/01/2001,108.22,0.059818
08/02/2001,108.25,0.059818
08/03/2001,108.13,0.059818
08/06/2001,108.18,0.059818
08/07/2001,108.44,0.059818
08/08/2001,108.4,0.059818
08/09/2001,109.75,0.059818
08/10/2001,109.69,0.059818
08/13/2001,109.65,0.059818
08/14/2001,109.59,0.059818
08/15/2001,109.4,0.059818
08/16/2001,109.31,0.059818
08/17/2001,109.56,0.059818
08/20/2001,109.83,0.059818
08/21/2001,109.71,0.059818
08/22/2001,110.03,0.059818
08/23/2001,109.9,0.059818
08/24/2001,110.05,0.059818
08/27/2001,110.36,0.059818
08/28/2001,110.55,0.059818
08/29/2001,111.02,0.059818
08/30/2001,110.99,0.059818
08/31/2001,111,0.053585
09/03/2001,110.99,0.053585
09/04/2001,110.74,0.053585
09/05/2001,109.92,0.053585
09/06/2001,109.86,0.053585
09/07/2001,110.27,0.053585
09/10/2001,111,0.053585
09/11/2001,110.97,0.053585
09/12/2001,111.91,0.053585
09/13/2001,111.72,0.053585
09/14/2001,111.87,0.053585
09/17/2001,112.24,0.053585
09/18/2001,112.28,0.053585
09/19/2001,111.87,0.053585
09/20/2001,112.11,0.053585
09/21/2001,111.94,0.053585
09/24/2001,111.84,0.053585
09/25/2001,111.81,0.053585
09/26/2001,112.01,0.053585
09/27/2001,112.2,0.053585
09/28/2001,112.36,0.050683
10/01/2001,112.38,0.050683
10/02/2001,112.68,0.050683
10/03/2001,112.65,0.050683
10/04/2001,112.59,0.050683
10/05/2001,112.88,0.050683
10/08/2001,113.21,0.050683
10/09/2001,113.19,0.050683
10/10/2001,113.05,0.050683
10/11/2001,112.87,0.050683
10/12/2001,112.51,0.050683
10/15/2001,112.78,0.050683
10/16/2001,112.95,0.050683
10/17/2001,113,0.050683
10/18/2001,113.06,0.050683
10/19/2001,113.07,0.050683
10/22/2001,113,0.050683
10/23/2001,112.53,0.050683
10/24/2001,112.99,0.050683
10/25/2001,113.5,0.050683
10/26/2001,113.58,0.050683
10/29/2001,113.87,0.050683
10/30/2001,114.07,0.050683
10/31/2001,114.26,0.048166
11/01/2001,114.32,0.048166
11/02/2001,114.42,0.048166
11/05/2001,114.4,0.048166
11/06/2001,114.61,0.048166
11/07/2001,114.9,0.048166
11/08/2001,115.26,0.048166
11/09/2001,114.8,0.048166
11/12/2001,114.22,0.048166
11/13/2001,114.52,0.048166
11/14/2001,114.14,0.048166
11/15/2001,113.29,0.048166
11/16/2001,112.39,0.048166
11/19/2001,112.09,0.048166
11/20/2001,112.56,0.048166
11/21/2001,112.03,0.048166
11/22/2001,111.58,0.048166
11/23/2001,111.38,0.048166
11/26/2001,111.8,0.048166
11/27/2001,111.76,0.048166
11/28/2001,112.46,0.048166
11/29/2001,112.4,0.048166
11/30/2001,112.83,0.052541
12/03/2001,112.97,0.052541
12/04/2001,112.74,0.052541
12/05/2001,112.86,0.052541
12/06/2001,111.94,0.052541
12/07/2001,112.17,0.052541
12/10/2001,111.93,0.052541
12/11/2001,112.07,0.052541
12/12/2001,111.93,0.052541
12/13/2001,112.28,0.052541
12/14/2001,112.09,0.052541
12/17/2001,111.85,0.052541
12/18/2001,111.88,0.052541
12/19/2001,112.2,0.052541
12/20/2001,112.25,0.052541
12/21/2001,112.08,0.052541
12/24/2001,112.06,0.052541
12/25/2001,112.06,0.052541
12/26/2001,112.1,0.052541
12/27/2001,111.35,0.052541
12/28/2001,111.65,0.052541
12/31/2001,111.71,0.055941
01/01/2002,111.71,0.055941
01/02/2002,112.17,0.055941
01/03/2002,111.69,0.055941
01/04/2002,111.76,0.055941
01/07/2002,111.81,0.055941
01/08/2002,112.27,0.055941
01/09/2002,112.29,0.055941
01/10/2002,112.62,0.055941
01/11/2002,112.9,0.055941
01/14/2002,113.73,0.055941
01/15/2002,113.42,0.055941
01/16/2002,113.44,0.055941
01/17/2002,113.18,0.055941
01/18/2002,112.86,0.055941
01/21/2002,112.71,0.055941
01/22/2002,112.68,0.055941
01/23/2002,112.26,0.055941
01/24/2002,111.94,0.055941
01/25/2002,111.82,0.055941
01/28/2002,111.71,0.055941
01/29/2002,111.68,0.055941
01/30/2002,112.14,0.055941
01/31/2002,111.72,0.057701
02/01/2002,111.68,0.057701
02/04/2002,112.02,0.057701
02/05/2002,112.38,0.057701
02/06/2002,112.51,0.057701
02/07/2002,112.69,0.057701
02/08/2002,112.5,0.057701
02/11/2002,112.28,0.057701
02/12/2002,112.25,0.057701
02/13/2002,111.99,0.057701
02/14/2002,111.52,0.057701
02/15/2002,111.84,0.057701
02/18/2002,112.13,0.057701
02/19/2002,112.11,0.057701
02/20/2002,112.28,0.057701
02/21/2002,112.01,0.057701
02/22/2002,112.43,0.057701
02/25/2002,112.56,0.057701
02/26/2002,112.39,0.057701
02/27/2002,112,0.057701
02/28/2002,112.39,0.057611
03/01/2002,112.21,0.057611
03/04/2002,111.55,0.057611
03/05/2002,111.72,0.057611
03/06/2002,111.87,0.057611
03/07/2002,111.37,0.057611
03/08/2002,110.87,0.057611
03/11/2002,110.96,0.057611
03/12/2002,111.1,0.057611
03/13/2002,110.88,0.057611
03/14/2002,111.11,0.057611
03/15/2002,110.71,0.057611
03/18/2002,110.99,0.057611
03/19/2002,110.97,0.057611
03/20/2002,111.11,0.057611
03/21/2002,110.8,0.057611
03/22/2002,110.99,0.057611
03/25/2002,110.95,0.057611
03/26/2002,110.84,0.057611
03/27/2002,111.21,0.057611
03/28/2002,111.3,0.057611
03/29/2002,111.3,0.061771
04/01/2002,111.32,0.061771
04/02/2002,110.65,0.061771
04/03/2002,111.1,0.061771
04/04/2002,111.54,0.061771
04/05/2002,111.56,0.061771
04/08/2002,111.78,0.061771
04/09/2002,111.51,0.061771
04/10/2002,111.81,0.061771
04/11/2002,111.38,0.061771
04/12/2002,111.56,0.061771
04/15/2002,111.77,0.061771
04/16/2002,111.82,0.061771
04/17/2002,111.65,0.061771
04/18/2002,111.8,0.061771
04/19/2002,111.76,0.061771
04/22/2002,111.95,0.061771
04/23/2002,111.98,0.061771
04/24/2002,111.82,0.061771
04/25/2002,111.84,0.061771
04/26/2002,112.43,0.061771
04/29/2002,113.04,0.061771
04/30/2002,112.99,0.059082
05/01/2002,113.03,0.059082
05/02/2002,113.14,0.059082
05/03/2002,112.86,0.059082
05/06/2002,112.96,0.059082
05/07/2002,113.22,0.059082
05/08/2002,112.82,0.059082
05/09/2002,112.25,0.059082
05/10/2002,112.24,0.059082
05/13/2002,112.52,0.059082
05/14/2002,112.35,0.059082
05/15/2002,111.98,0.059082
05/16/2002,112.02,0.059082
05/17/2002,112.13,0.059082
05/20/2002,112.02,0.059082
05/21/2002,112.28,0.059082
05/22/2002,112.53,0.059082
05/23/2002,112.74,0.059082
05/24/2002,112.64,0.059082
05/27/2002,112.49,0.059082
05/28/2002,112.36,0.059082
05/29/2002,112.63,0.059082
05/30/2002,112.73,0.059082
05/31/2002,112.61,0.062445
06/03/2002,112.1,0.062445
06/04/2002,112.4,0.062445
06/05/2002,112.45,0.062445
06/06/2002,112.59,0.062445
06/07/2002,113.06,0.062445
06/10/2002,113.12,0.062445
06/11/2002,113.1,0.062445
06/12/2002,113.45,0.062445
06/13/2002,113.42,0.062445
06/14/2002,114.04,0.062445
06/17/2002,114.28,0.062445
06/18/2002,114.08,0.062445
06/19/2002,114.42,0.062445
06/20/2002,114.39,0.062445
06/21/2002,114.23,0.062445
06/24/2002,114.08,0.062445
06/25/2002,114.08,0.062445
06/26/2002,114.92,0.062445
06/27/2002,114.45,0.062445
06/28/2002,114.15,0.059892
07/01/2002,114.07,0.059892
07/02/2002,114.26,0.059892
07/03/2002,114.52,0.059892
07/04/2002,114.35,0.059892
07/05/2002,114.17,0.059892
07/08/2002,114.05,0.059892
07/09/2002,114.23,0.059892
07/10/2002,114.73,0.059892
07/11/2002,115.2,0.059892
07/12/2002,114.91,0.059892
07/15/2002,115.37,0.059892
07/16/2002,115.1,0.059892
07/17/2002,115.1,0.059892
07/18/2002,115.14,0.059892
07/19/2002,115.47,0.059892
07/22/2002,115.86,0.059892
07/23/2002,115.7,0.059892
07/24/2002,116.1,0.059892
07/25/2002,115.83,0.059892
07/26/2002,116.16,0.059892
07/29/2002,115.98,0.059892
07/30/2002,115.46,0.059892
07/31/2002,115.41,0.058196
08/01/2002,115.7,0.058196
08/02/2002,116.25,0.058196
08/05/2002,116.31,0.058196
08/06/2002,117,0.058196
08/07/2002,116.59,0.058196
08/08/2002,116.85,0.058196
08/09/2002,116.64,0.058196
08/12/2002,116.84,0.058196
08/13/2002,116.91,0.058196
08/14/2002,117.41,0.058196
08/15/2002,116.96,0.058196
08/16/2002,116.73,0.058196
08/19/2002,116.36,0.058196
08/20/2002,116.3,0.058196
08/21/2002,116.56,0.058196
08/22/2002,116.35,0.058196
08/23/2002,116.19,0.058196
08/26/2002,116.28,0.058196
08/27/2002,116.47,0.058196
08/28/2002,116.14,0.058196
08/29/2002,116.42,0.058196
08/30/2002,116.68,0.058196
09/02/2002,117.04,0.058196
09/03/2002,117.65,0.058196
09/04/2002,118.11,0.058196
09/05/2002,118.03,0.058196
09/06/2002,118.42,0.058196
09/09/2002,117.9,0.058196
09/10/2002,117.66,0.058196
09/11/2002,117.56,0.058196
09/12/2002,116.98,0.058196
09/13/2002,117.71,0.058196
09/16/2002,117.91,0.058196
09/17/2002,117.45,0.058196
09/18/2002,117.97,0.058196
09/19/2002,118.09,0.058196
09/20/2002,118.43,0.058196
09/23/2002,118.73,0.058196
09/24/2002,118.8,0.058196
09/25/2002,119.01,0.058196
09/26/2002,118.33,0.058196
09/27/2002,118.27,0.058196
09/30/2002,118.88,0.054071
10/01/2002,118.91,0.054071
10/02/2002,118.41,0.054071
10/03/2002,118.61,0.054071
10/04/2002,118.53,0.054071
10/07/2002,118.59,0.054071
10/08/2002,118.54,0.054071
10/09/2002,118.26,0.054071
10/10/2002,118.73,0.054071
