date,SBGT_bond_index_local_daily,SBGT_yield_index_monthly
2/09/1987,253.72,6.96
2/10/1987,253.72,6.96
2/11/1987,253.72,6.96
2/12/1987,253.72,6.96
02/13/1987,253.72,6.96
02/16/1987,253.72,6.96
02/17/1987,253.72,6.96
02/18/1987,253.72,6.96
02/19/1987,253.72,6.96
02/20/1987,253.72,6.96
02/23/1987,253.72,6.96
02/24/1987,253.72,6.96
02/25/1987,253.72,6.96
02/26/1987,253.72,6.96
02/27/1987,255.86,6.93
3/02/1987,255.86,6.93
3/03/1987,255.86,6.93
3/04/1987,255.86,6.93
3/05/1987,255.86,6.93
3/06/1987,255.86,6.93
3/09/1987,255.86,6.93
3/10/1987,255.86,6.93
3/11/1987,255.86,6.93
3/12/1987,255.86,6.93
03/13/1987,255.86,6.93
03/16/1987,255.86,6.93
03/17/1987,255.86,6.93
03/18/1987,255.86,6.93
03/19/1987,255.86,6.93
03/20/1987,255.86,6.93
03/23/1987,255.86,6.93
03/24/1987,255.86,6.93
03/25/1987,255.86,6.93
03/26/1987,255.86,6.93
03/27/1987,255.86,6.93
03/30/1987,255.86,6.93
03/31/1987,252.55,7.3
4/01/1987,252.55,7.3
4/02/1987,252.55,7.3
4/03/1987,252.55,7.3
4/06/1987,252.55,7.3
4/07/1987,252.55,7.3
4/08/1987,252.55,7.3
4/09/1987,252.55,7.3
4/10/1987,252.55,7.3
04/13/1987,252.55,7.3
04/14/1987,252.55,7.3
04/15/1987,252.55,7.3
04/16/1987,252.55,7.3
04/17/1987,252.55,7.3
04/20/1987,252.55,7.3
04/21/1987,252.55,7.3
04/22/1987,252.55,7.3
04/23/1987,252.55,7.3
04/24/1987,252.55,7.3
04/27/1987,252.55,7.3
04/28/1987,252.55,7.3
04/29/1987,252.55,7.3
04/30/1987,247.79,7.9
5/01/1987,247.79,7.9
5/04/1987,247.79,7.9
5/05/1987,247.79,7.9
5/06/1987,247.79,7.9
5/07/1987,247.79,7.9
5/08/1987,247.79,7.9
5/11/1987,247.79,7.9
5/12/1987,247.79,7.9
05/13/1987,247.79,7.9
05/14/1987,247.79,7.9
05/15/1987,247.79,7.9
05/18/1987,247.79,7.9
05/19/1987,247.79,7.9
05/20/1987,247.79,7.9
05/21/1987,247.79,7.9
05/22/1987,247.79,7.9
05/25/1987,247.79,7.9
05/26/1987,247.79,7.9
05/27/1987,247.79,7.9
05/28/1987,247.79,7.9
05/29/1987,246.57,8.19
6/01/1987,246.57,8.19
6/02/1987,246.57,8.19
6/03/1987,246.57,8.19
6/04/1987,246.57,8.19
6/05/1987,246.57,8.19
6/08/1987,246.57,8.19
6/09/1987,246.57,8.19
6/10/1987,246.57,8.19
6/11/1987,246.57,8.19
6/12/1987,246.57,8.19
06/15/1987,246.57,8.19
06/16/1987,246.57,8.19
06/17/1987,246.57,8.19
06/18/1987,246.57,8.19
06/19/1987,246.57,8.19
06/22/1987,246.57,8.19
06/23/1987,246.57,8.19
06/24/1987,246.57,8.19
06/25/1987,246.57,8.19
06/26/1987,246.57,8.19
06/29/1987,246.57,8.19
06/30/1987,249.32,8.04
7/01/1987,249.32,8.04
7/02/1987,249.32,8.04
7/03/1987,249.32,8.04
7/06/1987,249.32,8.04
7/07/1987,249.32,8.04
7/08/1987,249.32,8.04
7/09/1987,249.32,8.04
7/10/1987,249.32,8.04
07/13/1987,249.32,8.04
07/14/1987,249.32,8.04
07/15/1987,249.32,8.04
07/16/1987,249.32,8.04
07/17/1987,249.32,8.04
07/20/1987,249.32,8.04
07/21/1987,249.32,8.04
07/22/1987,249.32,8.04
07/23/1987,249.32,8.04
07/24/1987,249.32,8.04
07/27/1987,249.32,8.04
07/28/1987,249.32,8.04
07/29/1987,249.32,8.04
07/30/1987,249.32,8.04
07/31/1987,248.4,8.22
8/03/1987,248.4,8.22
8/04/1987,248.4,8.22
8/05/1987,248.4,8.22
8/06/1987,248.4,8.22
8/07/1987,248.4,8.22
8/10/1987,248.4,8.22
8/11/1987,248.4,8.22
8/12/1987,248.4,8.22
08/13/1987,248.4,8.22
08/14/1987,248.4,8.22
08/17/1987,248.4,8.22
08/18/1987,248.4,8.22
08/19/1987,248.4,8.22
08/20/1987,248.4,8.22
08/21/1987,248.4,8.22
08/24/1987,248.4,8.22
08/25/1987,248.4,8.22
08/26/1987,248.4,8.22
08/27/1987,248.4,8.22
08/28/1987,248.4,8.22
08/31/1987,247.31,8.51
9/01/1987,247.31,8.51
9/02/1987,247.31,8.51
9/03/1987,247.31,8.51
9/04/1987,247.31,8.51
9/07/1987,247.31,8.51
9/08/1987,247.31,8.51
9/09/1987,247.31,8.51
9/10/1987,247.31,8.51
9/11/1987,247.31,8.51
09/14/1987,247.31,8.51
09/15/1987,247.31,8.51
09/16/1987,247.31,8.51
09/17/1987,247.31,8.51
09/18/1987,247.31,8.51
09/21/1987,247.31,8.51
09/22/1987,247.31,8.51
09/23/1987,247.31,8.51
09/24/1987,247.31,8.51
09/25/1987,247.31,8.51
09/28/1987,247.31,8.51
09/29/1987,247.31,8.51
09/30/1987,242.46,9.14
10/01/1987,242.46,9.14
10/02/1987,242.46,9.14
10/05/1987,242.46,9.14
10/06/1987,242.46,9.14
10/07/1987,242.46,9.14
10/08/1987,242.46,9.14
10/09/1987,242.46,9.14
10/12/1987,242.46,9.14
10/13/1987,242.46,9.14
10/14/1987,242.46,9.14
10/15/1987,242.46,9.14
10/16/1987,242.46,9.14
10/19/1987,242.46,9.14
10/20/1987,242.46,9.14
10/21/1987,242.46,9.14
10/22/1987,242.46,9.14
10/23/1987,242.46,9.14
10/26/1987,242.46,9.14
10/27/1987,242.46,9.14
10/28/1987,242.46,9.14
10/29/1987,242.46,9.14
10/30/1987,251.94,8.41
11/02/1987,251.94,8.41
11/03/1987,251.94,8.41
11/04/1987,251.94,8.41
11/05/1987,251.94,8.41
11/06/1987,251.94,8.41
11/09/1987,251.94,8.41
11/10/1987,251.94,8.41
11/11/1987,251.94,8.41
11/12/1987,251.94,8.41
11/13/1987,251.94,8.41
11/16/1987,251.94,8.41
11/17/1987,251.94,8.41
11/18/1987,251.94,8.41
11/19/1987,251.94,8.41
11/20/1987,251.94,8.41
11/23/1987,251.94,8.41
11/24/1987,251.94,8.41
11/25/1987,251.94,8.41
11/26/1987,251.94,8.41
11/27/1987,251.94,8.41
11/30/1987,253.01,8.47
12/01/1987,253.01,8.47
12/02/1987,253.01,8.47
12/03/1987,253.01,8.47
12/04/1987,253.01,8.47
12/07/1987,253.01,8.47
12/08/1987,253.01,8.47
12/09/1987,253.01,8.47
12/10/1987,253.01,8.47
12/11/1987,253.01,8.47
12/14/1987,253.01,8.47
12/15/1987,253.01,8.47
12/16/1987,253.01,8.47
12/17/1987,253.01,8.47
12/18/1987,253.01,8.47
12/21/1987,253.01,8.47
12/22/1987,253.01,8.47
12/23/1987,253.01,8.47
12/24/1987,253.01,8.47
12/25/1987,253.01,8.47
12/28/1987,253.01,8.47
12/29/1987,253.01,8.47
12/30/1987,253.01,8.47
12/31/1987,255.9,8.41
1/01/1988,255.9,8.41
1/04/1988,255.9,8.41
1/05/1988,255.9,8.41
1/06/1988,255.9,8.41
1/07/1988,255.9,8.41
1/08/1988,255.9,8.41
1/11/1988,255.9,8.41
1/12/1988,255.9,8.41
01/13/1988,255.9,8.41
01/14/1988,255.9,8.41
01/15/1988,255.9,8.41
01/18/1988,255.9,8.41
