date,SBWGU_index_daily_USD,SBWGU_yield_monthly_USD
2/09/1987,161.27,6.63
2/10/1987,161.27,6.63
2/11/1987,161.27,6.63
2/12/1987,161.27,6.63
02/13/1987,161.27,6.63
02/16/1987,161.27,6.63
02/17/1987,161.27,6.63
02/18/1987,161.27,6.63
02/19/1987,161.27,6.63
02/20/1987,161.27,6.63
02/23/1987,161.27,6.63
02/24/1987,161.27,6.63
02/25/1987,161.27,6.63
02/26/1987,161.27,6.63
02/27/1987,163.8,6.54
3/02/1987,163.8,6.54
3/03/1987,163.8,6.54
3/04/1987,163.8,6.54
3/05/1987,163.8,6.54
3/06/1987,163.8,6.54
3/09/1987,163.8,6.54
3/10/1987,163.8,6.54
3/11/1987,163.8,6.54
3/12/1987,163.8,6.54
03/13/1987,163.8,6.54
03/16/1987,163.8,6.54
03/17/1987,163.8,6.54
03/18/1987,163.8,6.54
03/19/1987,163.8,6.54
03/20/1987,163.8,6.54
03/23/1987,163.8,6.54
03/24/1987,163.8,6.54
03/25/1987,163.8,6.54
03/26/1987,163.8,6.54
03/27/1987,163.8,6.54
03/30/1987,163.8,6.54
03/31/1987,167.59,6.54
4/01/1987,167.59,6.54
4/02/1987,167.59,6.54
4/03/1987,167.59,6.54
4/06/1987,167.59,6.54
4/07/1987,167.59,6.54
4/08/1987,167.59,6.54
4/09/1987,167.59,6.54
4/10/1987,167.59,6.54
04/13/1987,167.59,6.54
04/14/1987,167.59,6.54
04/15/1987,167.59,6.54
04/16/1987,167.59,6.54
04/17/1987,167.59,6.54
04/20/1987,167.59,6.54
04/21/1987,167.59,6.54
04/22/1987,167.59,6.54
04/23/1987,167.59,6.54
04/24/1987,167.59,6.54
04/27/1987,167.59,6.54
04/28/1987,167.59,6.54
04/29/1987,167.59,6.54
04/30/1987,169.51,6.67
5/01/1987,169.51,6.67
5/04/1987,169.51,6.67
5/05/1987,169.51,6.67
5/06/1987,169.51,6.67
5/07/1987,169.51,6.67
5/08/1987,169.51,6.67
5/11/1987,169.51,6.67
5/12/1987,169.51,6.67
05/13/1987,169.51,6.67
05/14/1987,169.51,6.67
05/15/1987,169.51,6.67
05/18/1987,169.51,6.67
05/19/1987,169.51,6.67
05/20/1987,169.51,6.67
05/21/1987,169.51,6.67
05/22/1987,169.51,6.67
05/25/1987,169.51,6.67
05/26/1987,169.51,6.67
05/27/1987,169.51,6.67
05/28/1987,169.51,6.67
05/29/1987,167.83,6.83
6/01/1987,167.83,6.83
6/02/1987,167.83,6.83
6/03/1987,167.83,6.83
6/04/1987,167.83,6.83
6/05/1987,167.83,6.83
6/08/1987,167.83,6.83
6/09/1987,167.83,6.83
6/10/1987,167.83,6.83
6/11/1987,167.83,6.83
6/12/1987,167.83,6.83
06/15/1987,167.83,6.83
06/16/1987,167.83,6.83
06/17/1987,167.83,6.83
06/18/1987,167.83,6.83
06/19/1987,167.83,6.83
