Date,Total_Return,YTM
01/29/1997,,7.47
01/30/1997,,7.39
01/31/1997,,7.41
02/03/1997,,7.37
02/04/1997,,7.3
02/05/1997,,7.26
02/06/1997,,7.37
02/07/1997,,7.36
02/10/1997,,7.35
02/11/1997,,7.33
02/12/1997,,7.31
02/13/1997,,7.36
02/14/1997,,7.29
02/17/1997,,7.25
02/18/1997,,7.25
02/19/1997,,7.29
02/20/1997,,7.42
02/21/1997,,7.48
02/24/1997,,7.49
02/25/1997,,7.51
02/26/1997,,7.56
02/27/1997,,7.65
02/28/1997,,7.68
03/03/1997,,7.81
03/04/1997,,7.87
03/05/1997,,7.8
03/06/1997,,7.77
03/07/1997,,7.93
03/10/1997,,7.78
03/11/1997,,7.76
03/12/1997,,7.81
03/13/1997,,7.79
03/14/1997,,7.94
03/17/1997,,7.87
03/18/1997,,7.95
03/19/1997,,7.94
03/20/1997,,8.05
03/21/1997,,8.02
03/24/1997,,8.02
03/25/1997,,7.96
03/26/1997,,8.02
03/27/1997,,8
03/28/1997,,8
03/31/1997,,8
04/01/1997,,8.14
04/02/1997,,8.12
04/03/1997,,8.08
04/04/1997,,8.03
04/07/1997,,7.97
04/08/1997,,7.94
04/09/1997,,7.96
04/10/1997,,7.93
04/11/1997,,7.94
04/14/1997,,8.01
04/15/1997,,7.92
04/16/1997,,7.8
04/17/1997,,7.77
04/18/1997,,7.8
04/21/1997,,7.85
04/22/1997,,7.79
04/23/1997,,7.8
04/24/1997,,7.85
04/25/1997,,7.85
04/28/1997,,7.95
04/29/1997,,7.92
04/30/1997,,7.83
05/01/1997,,7.92
05/02/1997,,7.84
05/05/1997,,7.73
05/06/1997,,7.7
05/07/1997,,7.78
05/08/1997,,7.78
05/09/1997,,7.63
05/12/1997,,7.63
05/13/1997,,7.61
05/14/1997,,7.75
05/15/1997,,7.66
05/16/1997,,7.57
05/19/1997,,7.69
05/20/1997,,7.68
05/21/1997,,7.7
05/22/1997,,7.7
05/23/1997,,7.58
05/26/1997,,7.63
05/27/1997,,7.56
05/28/1997,,7.64
05/29/1997,,7.58
05/30/1997,,7.48
06/02/1997,,7.42
06/03/1997,,7.37
06/04/1997,,7.37
06/05/1997,,7.4
06/06/1997,,7.35
06/09/1997,,7.35
06/10/1997,,7.23
06/11/1997,,7.26
06/12/1997,,7.14
06/13/1997,,7.05
06/16/1997,,6.99
06/17/1997,,7.03
06/18/1997,,7.07
06/19/1997,,7.03
06/20/1997,,7.04
06/23/1997,,6.98
06/24/1997,,7.03
06/25/1997,,7.03
06/26/1997,,7.09
06/27/1997,,7.09
06/30/1997,,7.05
07/01/1997,,6.97
07/02/1997,,6.99
07/03/1997,,6.91
07/04/1997,,6.79
07/07/1997,,6.81
07/08/1997,,6.75
07/09/1997,,6.7
07/10/1997,,6.62
07/11/1997,,6.67
07/14/1997,,6.65
07/15/1997,,6.71
07/16/1997,,6.64
07/17/1997,,6.54
07/18/1997,,6.6
07/21/1997,,6.56
07/22/1997,,6.58
07/23/1997,,6.48
07/24/1997,,6.42
07/25/1997,,6.49
07/28/1997,,6.53
07/29/1997,,6.52
07/30/1997,,6.48
07/31/1997,,6.37
08/01/1997,,6.32
08/04/1997,,6.46
08/05/1997,,6.45
08/06/1997,,6.51
08/07/1997,,6.47
08/08/1997,,6.59
08/11/1997,,6.81
08/12/1997,,6.8
08/13/1997,,6.81
08/14/1997,,6.66
08/15/1997,,6.58
08/18/1997,,6.64
08/19/1997,,6.65
08/20/1997,,6.67
08/21/1997,,6.72
08/22/1997,,6.82
08/25/1997,,6.82
08/26/1997,,6.83
08/27/1997,,6.79
08/28/1997,,6.71
08/29/1997,,6.56
09/01/1997,,6.53
09/02/1997,,6.47
09/03/1997,,6.51
09/04/1997,,6.57
09/05/1997,,6.48
09/08/1997,,6.49
09/09/1997,,6.5
09/10/1997,,6.57
09/11/1997,,6.42
09/12/1997,,6.42
09/15/1997,,6.3
09/16/1997,,6.33
09/17/1997,,6.12
09/18/1997,,6.18
09/19/1997,,6.17
09/22/1997,,6.12
09/23/1997,,6.09
09/24/1997,,6.12
09/25/1997,,6.07
09/26/1997,,6.17
09/29/1997,,6.09
09/30/1997,,6.13
10/01/1997,,6.13
10/02/1997,,6.09
10/03/1997,,6.06
10/06/1997,,6.03
10/07/1997,,6.13
10/08/1997,,6.09
10/09/1997,,6.3
10/10/1997,,6.41
10/13/1997,,6.48
10/14/1997,,6.42
10/15/1997,,6.31
10/16/1997,,6.37
10/17/1997,,6.27
10/20/1997,,6.23
10/21/1997,,6.27
10/22/1997,,6.32
10/23/1997,,6.31
10/24/1997,,6.25
10/27/1997,,6.02
10/28/1997,,5.86
10/29/1997,,5.98
10/30/1997,,5.9
10/31/1997,,5.96
11/03/1997,,6.06
11/04/1997,,6.08
11/05/1997,,6.1
11/06/1997,,6.09
11/07/1997,,5.98
11/10/1997,,6.03
11/11/1997,,6.04
11/12/1997,,6.05
11/13/1997,,6
11/14/1997,,5.96
11/17/1997,,6.01
11/18/1997,,5.99
11/19/1997,,5.92
11/20/1997,,5.92
11/21/1997,,5.99
11/24/1997,,5.97
11/25/1997,,6.04
11/26/1997,,6.05
11/27/1997,,6.14
11/28/1997,,6.2
12/01/1997,,6.23
12/02/1997,,6.26
12/03/1997,,6.19
12/04/1997,,6.15
12/05/1997,,6.16
12/08/1997,,6.22
12/09/1997,,6.29
12/10/1997,,6.35
12/11/1997,,6.25
12/12/1997,,6.21
12/15/1997,,6.11
12/16/1997,,6.1
12/17/1997,,6.23
12/18/1997,,6.23
12/19/1997,,6.08
12/22/1997,,6.04
12/23/1997,,5.98
12/24/1997,,5.94
12/25/1997,,5.94
12/26/1997,,5.94
12/29/1997,,5.9
12/30/1997,,5.95
12/31/1997,,6.05
01/01/1998,,6.05
01/02/1998,,5.99
01/05/1998,,5.74
01/06/1998,,5.67
01/07/1998,,5.73
01/08/1998,,5.76
01/09/1998,,5.67
01/12/1998,,5.56
01/13/1998,,5.68
01/14/1998,,5.74
01/15/1998,,5.71
01/16/1998,,5.82
01/19/1998,,5.84
01/20/1998,,5.85
01/21/1998,,5.8
01/22/1998,,5.78
01/23/1998,,5.86
01/26/1998,,5.86
01/27/1998,,5.98
01/28/1998,,5.98
01/29/1998,,6.06
01/30/1998,,5.9
02/02/1998,,5.94
02/03/1998,,6
02/04/1998,,5.93
02/05/1998,,5.94
02/06/1998,,5.99
02/09/1998,,5.97
02/10/1998,,5.96
02/11/1998,,5.9
02/12/1998,,5.87
02/13/1998,,5.81
02/16/1998,,5.83
02/17/1998,,5.82
02/18/1998,,5.78
02/19/1998,,5.8
02/20/1998,,5.83
02/23/1998,,5.73
02/24/1998,,5.83
02/25/1998,,5.92
02/26/1998,,5.91
02/27/1998,,5.98
03/02/1998,,6.02
03/03/1998,,6.14
03/04/1998,,6.06
03/05/1998,,6
03/06/1998,,6.08
03/09/1998,,6.04
03/10/1998,,5.95
03/11/1998,,5.9
03/12/1998,,5.88
03/13/1998,,5.79
03/16/1998,,5.76
03/17/1998,,5.77
03/18/1998,,5.73
03/19/1998,,5.73
03/20/1998,,5.74
03/23/1998,,5.78
03/24/1998,,5.78
03/25/1998,,5.73
03/26/1998,,5.78
03/27/1998,,5.84
03/30/1998,,5.78
03/31/1998,,5.75
04/01/1998,,5.71
04/02/1998,,5.74
04/03/1998,,5.63
04/06/1998,,5.61
04/07/1998,,5.54
04/08/1998,,5.59
04/09/1998,,5.6
04/10/1998,,5.6
04/13/1998,,5.6
04/14/1998,,5.65
04/15/1998,,5.62
04/16/1998,,5.61
04/17/1998,,5.63
04/20/1998,,5.72
04/21/1998,,5.74
04/22/1998,,5.76
04/23/1998,,5.68
04/24/1998,,5.73
04/27/1998,,5.66
04/28/1998,,5.75
04/29/1998,,5.84
04/30/1998,,5.89
05/01/1998,,5.75
05/04/1998,,5.77
05/05/1998,,5.76
05/06/1998,,5.75
05/07/1998,,5.72
05/08/1998,,5.72
05/11/1998,,5.67
05/12/1998,,5.72
05/13/1998,,5.66
05/14/1998,,5.67
05/15/1998,,5.69
05/18/1998,,5.72
05/19/1998,,5.65
05/20/1998,,5.63
05/21/1998,,5.58
05/22/1998,,5.58
05/25/1998,,5.58
05/26/1998,,5.57
05/27/1998,,5.43
05/28/1998,,5.42
05/29/1998,,5.38
06/01/1998,,5.31
