Date,junk,yield
2/06/1987,7.19,7.19
2/09/1987,7.25,7.25
2/10/1987,7.33,7.33
2/11/1987,7.37,7.37
2/12/1987,7.31,7.31
02/13/1987,7.28,7.28
02/16/1987,7.28,7.28
02/17/1987,7.33,7.33
02/18/1987,7.3,7.3
02/19/1987,7.23,7.23
02/20/1987,7.24,7.24
02/23/1987,7.23,7.23
02/24/1987,7.18,7.18
02/25/1987,7.21,7.21
02/26/1987,7.21,7.21
02/27/1987,7.19,7.19
3/02/1987,7.17,7.17
3/03/1987,7.21,7.21
3/04/1987,7.14,7.14
3/05/1987,7.16,7.16
3/06/1987,7.23,7.23
3/09/1987,7.23,7.23
3/10/1987,7.23,7.23
3/11/1987,7.23,7.23
3/12/1987,7.22,7.22
03/13/1987,7.19,7.19
03/16/1987,7.22,7.22
03/17/1987,7.2,7.2
03/18/1987,7.21,7.21
03/19/1987,7.21,7.21
03/20/1987,7.22,7.22
03/23/1987,7.25,7.25
03/24/1987,7.27,7.27
03/25/1987,7.26,7.26
03/26/1987,7.24,7.24
03/27/1987,7.33,7.33
03/30/1987,7.54,7.54
03/31/1987,7.51,7.51
4/01/1987,7.59,7.59
4/02/1987,7.59,7.59
4/03/1987,7.59,7.59
4/06/1987,7.54,7.54
4/07/1987,7.62,7.62
4/08/1987,7.61,7.61
4/09/1987,7.78,7.78
4/10/1987,7.98,7.98
04/13/1987,8.07,8.07
04/14/1987,8.28,8.28
04/15/1987,8.1,8.1
04/16/1987,8.03,8.03
04/17/1987,8.03,8.03
04/20/1987,8.2,8.2
04/21/1987,8.19,8.19
04/22/1987,8.24,8.24
04/23/1987,8.39,8.39
04/24/1987,8.47,8.47
04/27/1987,8.37,8.37
04/28/1987,8.28,8.28
04/29/1987,8.35,8.35
04/30/1987,8.21,8.21
5/01/1987,8.39,8.39
5/04/1987,8.52,8.52
5/05/1987,8.45,8.45
5/06/1987,8.54,8.54
5/07/1987,8.5,8.5
5/08/1987,8.43,8.43
5/11/1987,8.57,8.57
5/12/1987,8.55,8.55
05/13/1987,8.55,8.55
05/14/1987,8.57,8.57
05/15/1987,8.8,8.8
05/18/1987,8.73,8.73
05/19/1987,8.89,8.89
05/20/1987,8.92,8.92
05/21/1987,8.87,8.87
05/22/1987,8.78,8.78
05/25/1987,8.78,8.78
05/26/1987,8.55,8.55
05/27/1987,8.6,8.6
05/28/1987,8.56,8.56
05/29/1987,8.49,8.49
6/01/1987,8.45,8.45
6/02/1987,8.72,8.72
6/03/1987,8.64,8.64
6/04/1987,8.58,8.58
6/05/1987,8.5,8.5
6/08/1987,8.53,8.53
6/09/1987,8.56,8.56
6/10/1987,8.56,8.56
6/11/1987,8.52,8.52
6/12/1987,8.32,8.32
06/15/1987,8.28,8.28
06/16/1987,8.28,8.28
06/17/1987,8.23,8.23
06/18/1987,8.27,8.27
06/19/1987,8.3,8.3
06/22/1987,8.23,8.23
06/23/1987,8.23,8.23
06/24/1987,8.31,8.31
06/25/1987,8.25,8.25
06/26/1987,8.37,8.37
06/29/1987,8.34,8.34
06/30/1987,8.38,8.38
7/01/1987,8.36,8.36
