"start_date","end_date","frequency","months","yield_shock","pfolio_return_delta_shock_unadjusted_by_weighted","pfolio_noncash_weight","pfolio_return_delta_shock","count_of_stocks","bmark_return_delta_shock"
2014-01-31,2017-01-31,"weekly",36,1,0.0302076497782679,0.948575,0.0318452940234224,41,0.0372033977310155
2013-12-31,2016-12-30,"weekly",35,1,0.0294071954847014,0.94665,0.0310644858022515,40,0.0374893187823524
2013-11-29,2016-11-30,"weekly",36,1,0.0293086724955371,0.952874,0.0307581826091771,40,0.0376468825212822
2013-10-31,2016-10-31,"weekly",36,1,0.030027050825227,0.955051,0.0314402590282896,42,0.0412443904127791
2013-09-30,2016-09-30,"weekly",36,1,0.0346181426829771,0.948976,0.0364794712226411,40,0.0478183494487383
2013-08-30,2016-08-31,"weekly",36,1,0.0330859385691775,0.952477,0.0347367322981841,41,0.0466313065402347
2013-07-31,2016-07-29,"weekly",35,1,0.0356417706273017,0.960675,0.0371007579330177,41,0.0501986269606914
2013-06-28,2016-06-30,"weekly",36,1,0.0361313255874937,0.958024,0.037714426347872,40,0.04901124091378
2013-05-31,2016-05-31,"weekly",36,1,0.0276555399599282,0.95676,0.0289054098832813,41,0.0361261223070835
2013-04-30,2016-04-29,"weekly",35,1,0.0275639666155628,0.931474,0.0295917724118578,41,0.0395621328341393
2013-03-29,2016-03-31,"weekly",36,1,0.0310422052428791,0.929308,0.0334035704447601,43,0.0413872130419946
2013-02-28,2016-02-29,"weekly",36,1,0.0334769511109152,0.931696,0.0359311954874929,41,0.043780026067403
2013-01-31,2016-01-29,"weekly",35,1,0.0307484321241411,0.932147,0.0329866771272569,41,0.0386133861510085
2012-12-31,2015-12-31,"weekly",36,1,0.0256814344656914,0.93088,0.0275883405655846,41,0.0329243904463762
2012-11-30,2015-11-30,"weekly",36,1,0.0261864030387797,0.926899,0.0282516250840487,41,0.0338230817625567
2012-10-31,2015-10-30,"weekly",35,1,0.0285351459857877,0.927744,0.0307575645714633,41,0.0358804557020396
2012-09-28,2015-09-30,"weekly",36,1,0.0331939562325535,0.910484,0.036457484406704,40,0.0410692937247725
2012-08-31,2015-08-31,"weekly",36,1,0.0289067880789415,0.920328,0.0314092237538589,41,0.0377095959563936
2012-07-31,2015-07-31,"weekly",36,1,0.0264780442224916,0.921876,0.0287219151192695,42,0.0344053326059483
2012-06-29,2015-06-30,"weekly",36,1,0.0270854533653803,0.924734,0.0292899940581619,40,0.0330143893633898
2012-05-31,2015-05-29,"weekly",35,1,0.0321559981553566,0.898547,0.0357866624176105,39,0.0381287390496586
2012-04-30,2015-04-30,"weekly",36,1,0.036361937897711,0.869496,0.0418195574191382,38,0.0442551995476869
2012-03-30,2015-03-31,"weekly",36,1,0.0404482268432205,0.861912,0.0469284878772085,37,0.0487916242736481
2012-02-29,2015-02-27,"weekly",35,1,0.0441472348652201,0.860029,0.0513322630576645,36,0.0532231035216765
