"start_date","end_date","frequency","months","yield_shock","pfolio_return_delta_shock_unadjusted_by_weighted","pfolio_noncash_weight","pfolio_return_delta_shock","count_of_stocks","bmark_return_delta_shock"
2014-02-28,2017-02-28,"weekly",36,1,0.0117795694530415,0.947876,0.0124273316900538,33,0.0174590583290128
2014-01-31,2017-01-31,"weekly",36,1,0.0099379543098169,0.951308,0.010446621188739,32,0.016884184860401
2013-12-31,2016-12-30,"weekly",35,1,0.0101519779446737,0.951055,0.0106744383286705,32,0.0185586351232009
2013-11-29,2016-11-30,"weekly",36,1,0.00952147397580329,0.963861,0.00987847207823876,32,0.0189475912907604
2013-10-31,2016-10-31,"weekly",36,1,0.00516703598227653,0.959516,0.00538504410794247,33,0.0156265751415462
2013-09-30,2016-09-30,"weekly",36,1,0.00637136431876743,0.95876,0.00664542150148883,32,0.0190473143766708
2013-08-30,2016-08-31,"weekly",36,1,0.00924767453129334,0.957871,0.00965440495775876,34,0.0238954132212973
2013-07-31,2016-07-29,"weekly",35,1,0.0108142249318902,0.950904,0.0113725727643276,34,0.0246996716031724
2013-06-28,2016-06-30,"weekly",36,1,0.00864049469226859,0.960218,0.00899847190145216,33,0.0218611076290902
2013-05-31,2016-05-31,"weekly",36,1,0.00681843851729199,0.954087,0.00714655845566704,32,0.0176325834713078
2013-04-30,2016-04-29,"weekly",35,1,0.00747961870888598,0.954673,0.0078347441573041,32,0.0156456867111001
2013-03-29,2016-03-31,"weekly",36,1,0.00224705767415716,0.956203,0.00234997973668475,33,0.00983540674780278
2013-02-28,2016-02-29,"weekly",36,1,-0.00168555605072219,0.965042,-0.00174661418956086,32,0.00542594598476106
2013-01-31,2016-01-29,"weekly",35,1,-0.00217268506247201,0.943715,-0.00230226822978549,31,0.00375603104220527
2012-12-31,2015-12-31,"weekly",36,1,-0.00531943313619641,0.943055,-0.00564063934361879,31,0.000380977356581229
2012-11-30,2015-11-30,"weekly",36,1,-0.00640364241980065,0.941496,-0.00680156094109869,32,-0.000253007969809029
2012-10-31,2015-10-30,"weekly",35,1,-0.00108374106677748,0.943816,-0.00114825460341579,32,0.00572273749924583
2012-09-28,2015-09-30,"weekly",36,1,-0.00252608170795495,0.944479,-0.00267457689155074,33,0.0038920321573928
