start_date,end_date,frequency,months,yield_shock,pfolio_return_delta_shock_unadjusted_by_weighted,pfolio_noncash_weight,pfolio_return_delta_shock,count_of_stocks,bmark_return_delta_shock
29/07/2016,31/01/2017,monthly,6,1,0.003703329,0.957067,0.003869457,43,0.029103037
29/07/2016,31/01/2017,weekly,6,1,0.033140951,0.957067,0.034627619,43,0.045263865
29/07/2016,31/01/2017,daily,6,1,0.020310381,0.957067,0.021221483,43,0.020206026
30/06/2016,31/01/2017,monthly,7,1,0.03094503,0.957067,0.032333191,43,0.039525815
30/06/2016,31/01/2017,weekly,7,1,0.020702058,0.957067,0.02163073,43,0.03012498
30/06/2016,31/01/2017,daily,7,1,0.017358442,0.957067,0.018137123,43,0.017286657
31/05/2016,31/01/2017,monthly,8,1,0.028256451,0.957067,0.029524005,43,0.036983875
31/05/2016,31/01/2017,weekly,8,1,0.029880632,0.957067,0.031221045,43,0.038360581
31/05/2016,31/01/2017,daily,8,1,0.030999478,0.957067,0.032390081,43,0.028638251
29/04/2016,31/01/2017,monthly,9,1,0.027999926,0.957067,0.029255972,43,0.036735221
29/04/2016,31/01/2017,weekly,9,1,0.025546647,0.957067,0.026692642,43,0.033879333
29/04/2016,31/01/2017,daily,9,1,0.031597887,0.957067,0.033015334,43,0.029104326
31/03/2016,31/01/2017,monthly,10,1,0.028572139,0.957067,0.029853855,43,0.037554064
31/03/2016,31/01/2017,weekly,10,1,0.023564666,0.957067,0.024621751,43,0.032545418
31/03/2016,31/01/2017,daily,10,1,0.02822079,0.957067,0.029486745,43,0.025822279
29/02/2016,31/01/2017,monthly,11,1,0.02801365,0.957067,0.029270312,43,0.040570119
29/02/2016,31/01/2017,weekly,11,1,0.019143321,0.957067,0.02000207,43,0.029152215
29/02/2016,31/01/2017,daily,11,1,0.027407045,0.957067,0.028636495,43,0.025924926
29/01/2016,31/01/2017,monthly,12,1,0.033660426,0.957067,0.035170397,43,0.046935058
29/01/2016,31/01/2017,weekly,12,1,0.02039857,0.957067,0.021313628,43,0.03234177
29/01/2016,31/01/2017,daily,12,1,0.029287116,0.957067,0.030600905,43,0.02851433
31/12/2015,31/01/2017,monthly,13,1,0.032456953,0.957067,0.033912937,43,0.045513279
31/12/2015,31/01/2017,weekly,13,1,0.023886372,0.957067,0.024957889,43,0.035501051
31/12/2015,31/01/2017,daily,13,1,0.029504512,0.957067,0.030828053,43,0.029831569
30/11/2015,31/01/2017,monthly,14,1,0.030740458,0.957067,0.032119442,43,0.042957161
30/11/2015,31/01/2017,weekly,14,1,0.025272376,0.957067,0.026406068,43,0.035966252
30/11/2015,31/01/2017,daily,14,1,0.027562318,0.957067,0.028798734,43,0.027347793
30/10/2015,31/01/2017,monthly,15,1,0.034044076,0.957067,0.035571257,43,0.046590346
30/10/2015,31/01/2017,weekly,15,1,0.027600506,0.957067,0.028838635,43,0.038138316
30/10/2015,31/01/2017,daily,15,1,0.02828792,0.957067,0.029556885,43,0.028202983
30/09/2015,31/01/2017,monthly,16,1,0.036048394,0.957067,0.037665486,43,0.049036494
30/09/2015,31/01/2017,weekly,16,1,0.023459473,0.957067,0.024511839,43,0.034230964
30/09/2015,31/01/2017,daily,16,1,0.029141705,0.957067,0.030448971,43,0.028968937
31/08/2015,31/01/2017,monthly,17,1,0.035920926,0.957067,0.0375323,43,0.048873758
31/08/2015,31/01/2017,weekly,17,1,0.024307943,0.957067,0.025398371,43,0.035133106
31/08/2015,31/01/2017,daily,17,1,0.033454809,0.957067,0.034955556,43,0.032397068
31/07/2015,31/01/2017,monthly,18,1,0.025073846,0.957067,0.026198632,43,0.041118764
31/07/2015,31/01/2017,weekly,18,1,0.030431643,0.957067,0.031796774,43,0.042178939
31/07/2015,31/01/2017,daily,18,1,0.034179083,0.957067,0.03571232,43,0.033634818
30/06/2015,31/01/2017,monthly,19,1,0.020243248,0.957067,0.021151338,43,0.034739844
30/06/2015,31/01/2017,weekly,19,1,0.02661714,0.957067,0.027811156,42,0.040535393
30/06/2015,31/01/2017,daily,19,1,0.034881816,0.957067,0.036446576,42,0.035445314
29/05/2015,31/01/2017,monthly,20,1,0.018832639,0.957067,0.019677451,42,0.035535932
29/05/2015,31/01/2017,weekly,20,1,0.023850358,0.957067,0.02492026,42,0.034668209
29/05/2015,31/01/2017,daily,20,1,0.03316224,0.957067,0.034649863,42,0.033806731
30/04/2015,31/01/2017,monthly,21,1,0.016538556,0.957067,0.017280458,42,0.034547524
30/04/2015,31/01/2017,weekly,21,1,0.02367884,0.957067,0.024741047,42,0.033637789
30/04/2015,31/01/2017,daily,21,1,0.03042808,0.957067,0.031793051,42,0.030952287
31/03/2015,31/01/2017,monthly,22,1,0.015805503,0.957067,0.016514521,42,0.033670621
31/03/2015,31/01/2017,weekly,22,1,0.02277371,0.957067,0.023795314,42,0.032257969
31/03/2015,31/01/2017,daily,22,1,0.029812101,0.957067,0.03114944,42,0.030239794
27/02/2015,31/01/2017,monthly,23,1,0.026489087,0.957067,0.027677359,42,0.039652855
27/02/2015,31/01/2017,weekly,23,1,0.018895751,0.957067,0.019743394,42,0.02659771
27/02/2015,31/01/2017,daily,23,1,0.02734936,0.957067,0.028576223,42,0.027710272
30/01/2015,31/01/2017,monthly,24,1,0.012780369,0.957067,0.013353683,42,0.023101187
30/01/2015,31/01/2017,weekly,24,1,0.020690377,0.957067,0.021618525,42,0.027307864
30/01/2015,31/01/2017,daily,24,1,0.026724562,0.957067,0.027923398,42,0.026949212
31/12/2014,31/01/2017,monthly,25,1,0.012632054,0.957067,0.013198714,42,0.022996428
31/12/2014,31/01/2017,weekly,25,1,0.022154627,0.957067,0.02314846,42,0.02885148
31/12/2014,31/01/2017,daily,25,1,0.028375714,0.957067,0.029648618,42,0.028808396
28/11/2014,31/01/2017,monthly,26,1,0.009755926,0.957067,0.010193566,42,0.019904254
28/11/2014,31/01/2017,weekly,26,1,0.023759304,0.957067,0.024825121,42,0.031582226
28/11/2014,31/01/2017,daily,26,1,0.029719481,0.957067,0.031052665,42,0.03060146
31/10/2014,31/01/2017,monthly,27,1,0.009453634,0.957067,0.009877713,42,0.020057605
31/10/2014,31/01/2017,weekly,27,1,0.024359895,0.957067,0.025452654,42,0.031968585
31/10/2014,31/01/2017,daily,27,1,0.029999174,0.957067,0.031344905,42,0.03064463
30/09/2014,31/01/2017,monthly,28,1,0.011427289,0.957067,0.011939905,42,0.02150137
30/09/2014,31/01/2017,weekly,28,1,0.027338558,0.957067,0.028564936,42,0.03488719
30/09/2014,31/01/2017,daily,28,1,0.030791701,0.957067,0.032172984,42,0.031448573
29/08/2014,31/01/2017,monthly,29,1,0.011775848,0.957067,0.0123041,42,0.020458077
29/08/2014,31/01/2017,weekly,29,1,0.028339615,0.957067,0.0296109,42,0.035060639
29/08/2014,31/01/2017,daily,29,1,0.031228961,0.957067,0.032629858,42,0.031604188
31/07/2014,31/01/2017,monthly,30,1,0.01111871,0.957067,0.011617484,42,0.020221163
31/07/2014,31/01/2017,weekly,30,1,0.027886289,0.957067,0.029137238,42,0.034796473
31/07/2014,31/01/2017,daily,30,1,0.031174376,0.957067,0.032572825,42,0.031679471
30/06/2014,31/01/2017,monthly,31,1,0.010818268,0.957067,0.011303564,42,0.020061658
30/06/2014,31/01/2017,weekly,31,1,0.028904756,0.957067,0.030201392,42,0.035896944
30/06/2014,31/01/2017,daily,31,1,0.031696567,0.957067,0.033118441,42,0.032279295
30/05/2014,31/01/2017,monthly,32,1,0.009438544,0.957067,0.009861947,42,0.019205822
30/05/2014,31/01/2017,weekly,32,1,0.02914145,0.957067,0.030448705,42,0.036158917
30/05/2014,31/01/2017,daily,32,1,0.031692667,0.957067,0.033114366,42,0.032474613
30/04/2014,31/01/2017,monthly,33,1,0.010226592,0.957067,0.010685346,42,0.019131757
30/04/2014,31/01/2017,weekly,33,1,0.02903432,0.957067,0.030336768,42,0.035797015
30/04/2014,31/01/2017,daily,33,1,0.03168907,0.957067,0.033110607,42,0.032285383
31/03/2014,31/01/2017,monthly,34,1,0.007955503,0.957067,0.008312379,42,0.017435295
31/03/2014,31/01/2017,weekly,34,1,0.030860938,0.957067,0.032245327,42,0.037514281
31/03/2014,31/01/2017,daily,34,1,0.032685362,0.957067,0.034151592,42,0.033136596
28/02/2014,31/01/2017,monthly,35,1,0.007839181,0.957067,0.008190838,42,0.017299687
28/02/2014,31/01/2017,weekly,35,1,0.030406171,0.957067,0.031770159,42,0.036822141
28/02/2014,31/01/2017,daily,35,1,0.033298904,0.957067,0.034792657,42,0.033583226
31/01/2014,31/01/2017,monthly,36,1,0.009491128,0.957067,0.00991689,42,0.019241198
31/01/2014,31/01/2017,weekly,36,1,0.03081961,0.957067,0.032202144,42,0.03732403
31/01/2014,31/01/2017,daily,36,1,0.033257637,0.957067,0.034749539,42,0.0335499
31/12/2013,31/01/2017,monthly,37,1,0.012902527,0.957067,0.01348132,42,0.021641669
31/12/2013,31/01/2017,weekly,37,1,0.031025297,0.957067,0.032417058,42,0.03756861
31/12/2013,31/01/2017,daily,37,1,0.033313957,0.957067,0.034808386,42,0.033502592
29/11/2013,31/01/2017,monthly,38,1,0.014786047,0.957067,0.015449333,41,0.023129768
29/11/2013,31/01/2017,weekly,38,1,0.030608587,0.957067,0.031981656,41,0.037398835
29/11/2013,31/01/2017,daily,38,1,0.032749945,0.957067,0.034219072,41,0.033663792
31/10/2013,31/01/2017,monthly,39,1,0.014426576,0.957067,0.015073737,41,0.022621169
31/10/2013,31/01/2017,weekly,39,1,0.030601582,0.957067,0.031974336,41,0.037252311
31/10/2013,31/01/2017,daily,39,1,0.032617549,0.957067,0.034080737,41,0.033296472
30/09/2013,31/01/2017,monthly,40,1,0.014077913,0.957067,0.014709433,41,0.022806162
30/09/2013,31/01/2017,weekly,40,1,0.029554391,0.957067,0.03088017,41,0.036571226
30/09/2013,31/01/2017,daily,40,1,0.032049103,0.957067,0.033486792,41,0.032856786
30/08/2013,31/01/2017,monthly,41,1,0.012568677,0.957067,0.013132494,41,0.021233691
