"start_date","end_date","frequency","months","yield_shock","pfolio_return_delta_shock_unadjusted_by_weighted","pfolio_noncash_weight","pfolio_return_delta_shock","count_of_stocks","bmark_return_delta_shock"
2016-08-31,2017-02-28,"weekly",6,1,0.00197689622492304,0.947876,0.00208560637142732,37,-0.00894555739292214
2016-08-31,2017-02-28,"monthly",6,1,-0.0148199480135292,0.947876,-0.0156349016258764,37,0.0110272958986167
2016-07-29,2017-02-28,"daily",7,1,0.0213664936966655,0.947876,0.0225414439195269,37,0.0174825932409174
2016-07-29,2017-02-28,"weekly",7,1,9.8162901207453e-05,0.947876,0.000103560910084708,37,-0.00843287970380988
2016-07-29,2017-02-28,"monthly",7,1,-0.0441400826570524,0.947876,-0.0465673597148281,37,-0.0178079945028394
2016-06-30,2017-02-28,"daily",8,1,0.0210892113089869,0.947876,0.0222489136859535,37,0.0182567960757979
2016-06-30,2017-02-28,"weekly",8,1,-0.000421434095585499,0.947876,-0.000444608889333097,37,-0.00830716504982063
2016-06-30,2017-02-28,"monthly",8,1,-0.00921549071136551,0.947876,-0.00972225345020394,37,0.00740333039505984
2016-08-31,2017-02-28,"daily",6,1,0.0260434805293185,0.947876,0.0274756197322419,37,0.021788461499104
2016-08-31,2017-02-28,"weekly",6,1,0.00197689622492304,0.947876,0.00208560637142732,37,-0.00894555739292214
2016-08-31,2017-02-28,"monthly",6,1,-0.0148199480135292,0.947876,-0.0156349016258764,37,0.0110272958986167
2016-07-29,2017-02-28,"daily",7,1,0.0213664936966655,0.947876,0.0225414439195269,37,0.0174825932409174
2016-07-29,2017-02-28,"weekly",7,1,9.8162901207453e-05,0.947876,0.000103560910084708,37,-0.00843287970380988
2016-07-29,2017-02-28,"monthly",7,1,-0.0441400826570524,0.947876,-0.0465673597148281,37,-0.0178079945028394
2016-06-30,2017-02-28,"daily",8,1,0.0210892113089869,0.947876,0.0222489136859535,37,0.0182567960757979
2016-06-30,2017-02-28,"weekly",8,1,-0.000421434095585499,0.947876,-0.000444608889333097,37,-0.00830716504982063
2016-06-30,2017-02-28,"monthly",8,1,-0.00921549071136551,0.947876,-0.00972225345020394,37,0.00740333039505984
2016-05-31,2017-02-28,"daily",9,1,0.0285975056615494,0.947876,0.0301700915114946,37,0.0249417996424424
2016-05-31,2017-02-28,"weekly",9,1,0.00801755897881261,0.947876,0.00845844707410316,37,8.31371155403638e-05
