"start_date","end_date","frequency","months","yield_shock","pfolio_return_delta_shock_unadjusted_by_weighted","pfolio_noncash_weight","pfolio_return_delta_shock","count_of_stocks","bmark_return_delta_shock"
2016-07-29,2017-01-31,"monthly",6,1,0.00370332926939153,0.957067,0.00386945665182431,43,0.0291030368086663
2016-07-29,2017-01-31,"weekly",6,1,0.0331409511284714,0.957067,0.0346276186813163,43,0.0452638649329457
2016-07-29,2017-01-31,"daily",6,1,0.0203103807908371,0.957067,0.021221482707937,43,0.0202060258126454
2016-06-30,2017-01-31,"monthly",7,1,0.0309450302986411,0.957067,0.0323331911962706,43,0.0395258153383746
2016-06-30,2017-01-31,"weekly",7,1,0.0207020581159391,0.957067,0.0216307302581106,43,0.0301249798562338
2016-06-30,2017-01-31,"daily",7,1,0.0173584421995978,0.957067,0.0181371233148753,43,0.0172866572645174
2016-05-31,2017-01-31,"monthly",8,1,0.0282564508695291,0.957067,0.0295240049751262,43,0.0369838750497901
2016-05-31,2017-01-31,"weekly",8,1,0.0298806319059434,0.957067,0.0312210450323158,43,0.038360580651875
2016-05-31,2017-01-31,"daily",8,1,0.0309994777854722,0.957067,0.0323900811390135,43,0.0286382514729303
2016-04-29,2017-01-31,"monthly",9,1,0.0279999257122118,0.957067,0.0292559723741513,43,0.0367352209486379
2016-04-29,2017-01-31,"weekly",9,1,0.0255466465025746,0.957067,0.026692641688173,43,0.0338793333110266
2016-04-29,2017-01-31,"daily",9,1,0.0315978865942173,0.957067,0.0330153339256471,43,0.0291043261250299
2016-03-31,2017-01-31,"monthly",10,1,0.0285721394125407,0.957067,0.0298538549678765,43,0.0375540638541287
2016-03-31,2017-01-31,"weekly",10,1,0.0235646658237658,0.957067,0.0246217514800592,43,0.0325454176602732
2016-03-31,2017-01-31,"daily",10,1,0.0282207904400665,0.957067,0.0294867448570126,43,0.0258222787689425
2016-02-29,2017-01-31,"monthly",11,1,0.0280136497436656,0.957067,0.029270312050949,43,0.0405701191415095
2016-02-29,2017-01-31,"weekly",11,1,0.0191433209341936,0.957067,0.0200020697967787,43,0.0291522149528331
2016-02-29,2017-01-31,"daily",11,1,0.0274070448109506,0.957067,0.0286364954710073,43,0.0259249258948218
2016-01-29,2017-01-31,"monthly",12,1,0.0336604264653986,0.957067,0.0351703971251737,43,0.0469350582466556
2016-01-29,2017-01-31,"weekly",12,1,0.0203985699289828,0.957067,0.0213136279163139,43,0.0323417698834784
2016-01-29,2017-01-31,"daily",12,1,0.0292871162005287,0.957067,0.0306009048483844,43,0.028514330275571
2015-12-31,2017-01-31,"monthly",13,1,0.0324569532112233,0.957067,0.0339129373504919,43,0.0455132791814424
2015-12-31,2017-01-31,"weekly",13,1,0.0238863723855998,0.957067,0.0249578894535072,43,0.0355010514644241
2015-12-31,2017-01-31,"daily",13,1,0.0295045117872271,0.957067,0.0308280525681348,43,0.029831568695709
2015-11-30,2017-01-31,"monthly",14,1,0.0307404579593955,0.957067,0.0321194419611119,43,0.0429571609859235
2015-11-30,2017-01-31,"weekly",14,1,0.0252723759853476,0.957067,0.0264060676894591,43,0.035966252298848
2015-11-30,2017-01-31,"daily",14,1,0.0275623184271128,0.957067,0.028798734495195,43,0.0273477927738479
2015-10-30,2017-01-31,"monthly",15,1,0.0340440761850832,0.957067,0.0355712569601535,43,0.0465903463561602
2015-10-30,2017-01-31,"weekly",15,1,0.027600506231845,0.957067,0.0288386353639244,43,0.0381383164144602
