"Date","ANZ","BHP"
2000-06-30,0.0551,0.1253
2000-07-31,0.0156,-0.0759
2000-08-31,0.0015,0.0393
2000-09-29,0.0192,0.0096
2000-10-31,0.073,-0.0129
2000-11-30,0.0806,0.0551
2000-12-29,-0.0426,-0.0264
2001-01-31,0.0392,-0.0056
2001-02-28,0.0353,0.1168
2001-03-30,-0.1092,-0.0689
2001-04-30,0.0167,0.098
2001-05-31,0.1148,0.0455
2001-06-29,0.107,-0.0353
2001-07-31,-0.0777,-0.0664
2001-08-31,0.0834,-0.0392
2001-09-28,-0.0539,-0.0794
2001-10-31,0.1164,0.0408
2001-11-30,-0.0362,0.1403
2001-12-31,0.0595,0.0455
2002-01-31,-0.0033,0.0648
2002-02-28,0.0394,0.0546
2002-03-29,-0.0369,-0.0331
2002-04-30,0.0681,-0.0526
2002-05-31,0.0485,0
2002-06-28,-0.0108,-0.0356
2002-07-31,-0.07,-0.0231
2002-08-30,0.0569,-0.0441
2002-09-30,-0.0691,-0.0066
2002-10-31,0.0929,0.0707
2002-11-29,-0.0021,0.0583
2002-12-31,-0.0766,0.003
2003-01-31,-0.0063,-0.1212
2003-02-28,-0.0476,0.0258
2003-03-31,0.092,0.0142
2003-04-30,0.0402,-0.0259
2003-05-30,0.0173,-0.0487
2003-06-30,0.0043,0.0181
2003-07-31,-0.0193,0.1343
2003-08-29,-0.04,0.1153
2003-09-30,0.0245,-0.0339
2003-10-31,0.0368,0.1098
2003-11-28,-0.0255,-0.029
2003-12-31,0.0511,0.0816
2004-01-30,-0.0068,-0.0738
2004-02-27,0.0245,0.0859
2004-03-31,0.0539,0
2004-04-30,-0.0206,-0.0558
2004-05-31,-0.0021,0.0541
2004-06-30,0.0127,0.0364
2004-07-30,-0.012,0.0519
2004-08-31,0.0161,0.0062
2004-09-30,0.0365,0.0937
2004-10-29,0.0726,-0.0355
2004-11-30,0.0091,0.1155
2004-12-31,0.0269,-0.0071
2005-01-31,0,0.0606
2005-02-28,0.0379,0.1869
2005-03-31,-0.0351,-0.0664
2005-04-29,0.0461,-0.1024
2005-05-31,0.0181,0.0399
2005-06-30,0.014,0.0881
2005-07-29,-0.0133,0.0667
2005-08-31,0.0326,0.0568
2005-09-30,0.083,0.0977
2005-10-31,-0.0188,-0.0674
2005-11-30,0.041,0.054
2005-12-30,0.0017,0.0402
2006-01-31,0.0397,0.1341
2006-02-28,0.0329,-0.051
2006-03-31,0.0303,0.1546
2006-04-28,0.0547,0.0464
2006-05-31,-0.0344,-0.0365
2006-06-30,0.0053,0.0273
2006-07-31,-0.0504,-0.0424
2006-08-31,0.0792,-0.0025
2006-09-29,-0.0143,-0.0666
2006-10-31,0.0812,0.0644
2006-11-30,0.0031,-0.0385
2006-12-29,-0.0084,-0.0355
2007-01-31,0.0319,0.0292
2007-02-28,0.0065,0.051
2007-03-30,0.0137,0.1017
2007-04-30,0.0303,-0.0127
2007-05-31,-0.038,0.0685
2007-06-29,0.0052,0.111
2007-07-31,-0.0238,0.0562
2007-08-31,0.0244,0.0384
2007-09-28,0.0245,0.1697
2007-10-31,0.0135,0.0348
2007-11-30,-0.0402,-0.0677
2007-12-31,-0.0249,-0.0661
2008-01-31,-0.0528,-0.077
2008-02-29,-0.1542,0.077
2008-03-31,0.025,-0.0953
2008-04-30,-0.0288,0.1804
2008-05-30,0.0176,0.0291
2008-06-30,-0.1365,0.0046
2008-07-31,-0.1319,-0.0913
2008-08-29,0.0222,0.0426
2008-09-30,0.1288,-0.2427
2008-10-31,-0.0741,-0.0971
2008-11-28,-0.1102,0.1075
2008-12-31,0.0331,-0.0181
2009-01-30,-0.1321,0.002
2009-02-27,0.003,-0.0338
2009-03-31,0.1833,0.1068
2009-04-30,0.0095,0.0426
2009-05-29,0.0277,0.0418
2009-06-30,0.0371,0.0017
2009-07-31,0.1237,0.0901
2009-08-31,0.1489,-0.0149
2009-09-30,0.1456,0.0253
2009-10-30,-0.0545,-0.0074
2009-11-30,-0.0151,0.1028
2009-12-31,0.033,0.0441
2010-01-29,-0.0503,-0.0863
2010-02-26,0.0649,0.0431
2010-03-31,0.0959,0.0726
2010-04-30,-0.0457,-0.0652
2010-05-31,-0.0567,-0.0616
2010-06-30,-0.0314,-0.0154
2010-07-30,0.0666,0.0656
2010-08-31,-0.02,-0.0765
2010-09-30,0.0483,0.0635
2010-10-29,0.0477,0.0774
2010-11-30,-0.0589,0.0196
2010-12-31,0.0305,0.0587
2011-01-31,0.0137,-0.0221
2011-02-28,0.0194,0.042
2011-03-31,-0.0133,0.0198
2011-04-29,0.0176,-0.0157
2011-05-31,-0.0606,-0.0321
2011-06-30,-0.0059,-0.0126
2011-07-29,-0.0532,-0.0543
2011-08-31,-0.0259,-0.0406
2011-09-30,-0.0379,-0.1066
2011-10-31,0.1107,0.0794
2011-11-30,-0.0481,-0.0762
2011-12-30,0.0317,-0.0143
2012-01-31,0.0429,0.0889
2012-02-29,0.0252,-0.0231
2012-03-30,0.0597,-0.0413
2012-04-30,0.0279,0.0272
2012-05-31,-0.0998,-0.1007
2012-06-29,0.0541,-0.0163
2012-07-31,0.0685,0.0153
2012-08-31,0.0544,-0.0044
2012-09-28,-0.0028,0.0578
2012-10-31,0.0283,0.0366
2012-11-30,-0.0118,0.0041
2012-12-31,0.0283,0.0788
2013-01-31,0.0611,0.0102
2013-02-28,0.0805,-0.0109
2013-03-29,-0.0066,-0.1025
2013-04-30,0.116,-0.0018
2013-05-31,-0.1144,0.0667
2013-06-28,0.0378,-0.1006
2013-07-31,0.0413,0.1042
2013-08-30,-0.0024,0.032
2013-09-30,0.0367,0.0178
2013-10-31,0.0994,0.0537
2013-11-29,-0.0308,-0.0072
2013-12-31,0.0103,0.016
2014-01-31,-0.0652,-0.0374
2014-02-28,0.0667,0.0495
2014-03-31,0.0286,-0.0333
2014-04-30,0.0426,0.0351
2014-05-30,-0.0038,-0.0196
2014-06-30,-0.0045,-0.03
2014-07-31,0.0189,0.0774
2014-08-29,-0.0159,-0.052
2014-09-30,-0.0751,-0.0595
2014-10-31,0.0834,0.0027
2014-11-28,-0.0196,-0.0895
2014-12-31,0.0053,-0.0501
2015-01-30,0.0284,-0.0037
2015-02-27,0.0709,0.15
2015-03-31,0.0368,-0.0533
2015-04-30,-0.0723,0.0303
2015-05-29,0.0024,-0.0095
2015-06-30,-0.0298,-0.0858
2015-07-31,0.0149,-0.0222
2015-08-31,-0.1453,-0.048
2015-09-30,-0.0304,-0.0861
2015-10-30,0.0048,0.036
2015-11-30,0.0343,-0.2142
2015-12-31,0.0287,-0.0127
2016-01-29,-0.1343,-0.1405
2016-02-29,-0.0736,0.0143
2016-03-31,0.0473,0.0959
2016-04-29,0.0345,0.2266
2016-05-31,0.0843,-0.0774
2016-06-30,-0.0534,-0.0225
2016-07-29,0.0713,0.0466
2016-08-31,0.041,0.0466
2016-09-30,0.0271,0.1057
